code,净值日期,累计净值,return
515180,2021-03-31,1.2144,-0.0027919198554771096
515180,2021-04-01,1.2234,0.007411067193676013
515180,2021-04-02,1.2168,-0.0053948013732221245
515180,2021-04-06,1.2219,0.004191321499013689
515180,2021-04-07,1.2318,0.008102136017677397
515180,2021-04-08,1.2294,-0.001948368241597609
515180,2021-04-09,1.2308,0.0011387668781517313
515180,2021-04-12,1.2254,-0.004387390315242046
515180,2021-04-13,1.2153,-0.008242206626407733
515180,2021-04-14,1.224,0.007158726240434454
515180,2021-04-15,1.2256,0.0013071895424836555
515180,2021-04-16,1.2397,0.011504569190600611
515180,2021-04-19,1.247,0.005888521416471892
515180,2021-04-20,1.2465,-0.00040096230954300704
515180,2021-04-21,1.2454,-0.0008824709185718538
515180,2021-04-22,1.2505,0.004095069857073863
515180,2021-04-23,1.247,-0.0027988804478207285
515180,2021-04-26,1.2392,-0.006255012028869356
515180,2021-04-27,1.2396,0.00032278889606196515
515180,2021-04-28,1.2474,0.006292352371732868
515180,2021-04-29,1.2543,0.005531505531505498
515180,2021-04-30,1.2489,-0.004305190145898141
515180,2021-05-06,1.2663,0.013932260389142526
515180,2021-05-07,1.2689,0.0020532259338228442
515180,2021-05-10,1.2793,0.008196075340846543
515180,2021-05-11,1.268,-0.008832955522551478
515180,2021-05-12,1.2792,0.008832807570977819
515180,2021-05-13,1.2654,-0.010787992495309373
515180,2021-05-14,1.2738,0.006638217164532945
515180,2021-05-17,1.2725,-0.001020568378081399
515180,2021-05-18,1.2793,0.00534381139489204
515180,2021-05-19,1.2792,-7.816774798730108e-05
515180,2021-05-20,1.2622,-0.013289555972482714
515180,2021-05-21,1.2674,0.004119790841388138
515180,2021-05-24,1.2753,0.006233233391194526
515180,2021-05-25,1.2907,0.012075590057241348
515180,2021-05-26,1.2997,0.006972960409080464
515180,2021-05-27,1.3056,0.004539509117488683
515180,2021-05-28,1.3088,0.002450980392156854
515180,2021-05-31,1.3202,0.008710268948655342
515180,2021-06-01,1.3291,0.006741402817754816
515180,2021-06-02,1.3231,-0.004514333007298199
515180,2021-06-03,1.3222,-0.0006802206938250066
515180,2021-06-04,1.3186,-0.002722734835879592
515180,2021-06-07,1.3165,-0.0015925982102229508
515180,2021-06-08,1.3099,-0.005013292821876125
515180,2021-06-09,1.3143,0.003359035040842784
515180,2021-06-10,1.3185,0.003195617438940923
515180,2021-06-11,1.315,-0.0026545316647705874
515180,2021-06-15,1.305,-0.0076045627376425395
515180,2021-06-16,1.2893,-0.012030651340996235
515180,2021-06-17,1.2895,0.00015512293492614404
515180,2021-06-18,1.2893,-0.00015509887553333268
515180,2021-06-21,1.2963,0.005429302722407492
515180,2021-06-22,1.3117,0.011879966057239955
515180,2021-06-23,1.3303,0.014180071662727611
515180,2021-06-24,1.3288,-0.0011275652108547751
515180,2021-06-25,1.3349,0.004590608067429169
515180,2021-06-28,1.3244,-0.007865757734661694
515180,2021-06-29,1.3235,-0.0006795530051344478
515180,2021-06-30,1.328,0.0034000755572347607
515180,2021-07-01,1.3229,-0.003840361445783258
515180,2021-07-02,1.3142,-0.006576460805805429
515180,2021-07-05,1.3169,0.0020544818140313392
515180,2021-07-06,1.3162,-0.0005315513706430908
515180,2021-07-07,1.3192,0.0022792888618750062
515180,2021-07-08,1.2981,-0.015994542146755553
515180,2021-07-09,1.311,0.00993760110931352
